studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Cornwall School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,81
Cornwall School District,,2019-2020,English Language Learner,Student Enrollment,Number,6
Cornwall School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,2016
Coventry School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Coventry School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1735
Coventry School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Coventry School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1641
Coventry School District,,2014-2015,English Language Learner,Student Enrollment,Number,10
Coventry School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1628
Coventry School District,,2015-2016,English Language Learner,Student Enrollment,Number,6
Coventry School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Coventry School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1682
Coventry School District,,2017-2018,English Language Learner,Student Enrollment,Number,8
Coventry School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1638
Coventry School District,,2018-2019,English Language Learner,Student Enrollment,Number,11
Coventry School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1665
Coventry School District,,2019-2020,English Language Learner,Student Enrollment,Number,13
Coventry School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1592
Coventry School District,,2020-2021,English Language Learner,Student Enrollment,Number,14
Cromwell School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,1937
Cromwell School District,,2007-2008,English Language Learner,Student Enrollment,Number,63
Cromwell School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,1978
Cromwell School District,,2008-2009,English Language Learner,Student Enrollment,Number,51
Cromwell School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,2017
Cromwell School District,,2009-2010,English Language Learner,Student Enrollment,Number,51
Cromwell School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,1978
Cromwell School District,,2010-2011,English Language Learner,Student Enrollment,Number,54
Cromwell School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1959
Cromwell School District,,2011-2012,English Language Learner,Student Enrollment,Number,41
Cromwell School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1942
Cromwell School District,,2012-2013,English Language Learner,Student Enrollment,Number,43
Cromwell School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,1921
Cromwell School District,,2013-2014,English Language Learner,Student Enrollment,Number,47
Cromwell School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1932
Cromwell School District,,2014-2015,English Language Learner,Student Enrollment,Number,52
Cromwell School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1934
Cromwell School District,,2015-2016,English Language Learner,Student Enrollment,Number,63
Cromwell School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1935
Cromwell School District,,2016-2017,English Language Learner,Student Enrollment,Number,69
Cromwell School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1899
Cromwell School District,,2017-2018,English Language Learner,Student Enrollment,Number,74
Cromwell School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1868
Cromwell School District,,2018-2019,English Language Learner,Student Enrollment,Number,78
Cromwell School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1888
Cromwell School District,,2019-2020,English Language Learner,Student Enrollment,Number,94
Cromwell School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1886
Cromwell School District,,2020-2021,English Language Learner,Student Enrollment,Number,103
Danbury School District,900118500,2007-2008,Non-English Language Learner,Student Enrollment,Number,8367
Danbury School District,900118500,2007-2008,English Language Learner,Student Enrollment,Number,1811
Danbury School District,900118500,2008-2009,Non-English Language Learner,Student Enrollment,Number,8462
Danbury School District,900118500,2008-2009,English Language Learner,Student Enrollment,Number,1888
Danbury School District,900118500,2009-2010,Non-English Language Learner,Student Enrollment,Number,8599
Danbury School District,900118500,2009-2010,English Language Learner,Student Enrollment,Number,1884
Danbury School District,900118500,2010-2011,Non-English Language Learner,Student Enrollment,Number,8714
Danbury School District,900118500,2010-2011,English Language Learner,Student Enrollment,Number,1980
Danbury School District,900118500,2011-2012,Non-English Language Learner,Student Enrollment,Number,8874
Danbury School District,900118500,2011-2012,English Language Learner,Student Enrollment,Number,1948
Danbury School District,900118500,2012-2013,Non-English Language Learner,Student Enrollment,Number,8844
Danbury School District,900118500,2012-2013,English Language Learner,Student Enrollment,Number,2106
Danbury School District,900118500,2013-2014,Non-English Language Learner,Student Enrollment,Number,8594
Danbury School District,900118500,2013-2014,English Language Learner,Student Enrollment,Number,2199
Danbury School District,900118500,2014-2015,Non-English Language Learner,Student Enrollment,Number,8522
Danbury School District,900118500,2014-2015,English Language Learner,Student Enrollment,Number,2423
Danbury School District,900118500,2015-2016,Non-English Language Learner,Student Enrollment,Number,8577
Danbury School District,900118500,2015-2016,English Language Learner,Student Enrollment,Number,2580
Danbury School District,900118500,2016-2017,Non-English Language Learner,Student Enrollment,Number,8579
Danbury School District,900118500,2016-2017,English Language Learner,Student Enrollment,Number,2792
Danbury School District,900118500,2017-2018,Non-English Language Learner,Student Enrollment,Number,8478
Danbury School District,900118500,2017-2018,English Language Learner,Student Enrollment,Number,3005
Danbury School District,900118500,2018-2019,Non-English Language Learner,Student Enrollment,Number,8510
Danbury School District,900118500,2018-2019,English Language Learner,Student Enrollment,Number,3021
Danbury School District,900118500,2019-2020,Non-English Language Learner,Student Enrollment,Number,8597
Danbury School District,900118500,2019-2020,English Language Learner,Student Enrollment,Number,3331
Danbury School District,900118500,2020-2021,Non-English Language Learner,Student Enrollment,Number,8534
Danbury School District,900118500,2020-2021,English Language Learner,Student Enrollment,Number,3300
Darien School District,900118850,2007-2008,Non-English Language Learner,Student Enrollment,Number,4622
